ID ,Producto,Km, Tipo, Costo
5,MONITOR_SAMSUNG_24,56,2,5040
6,MOUSE_GENIUS,48,2,3776
7,MONITOR_SAMSUNG_24,29,2,2503
8,MOUSE_GENIUS,32,2,2704
10,TV_LG_54,24,2,2168
22,CELULAR_MOTOG6,84,2,7280
31,MONITOR_SAMSUNG_24,48,2,3776
32,TECLADO_ESP,36,2,2972
37,MONITOR_SAMSUNG_24,48,2,3776
41,TV_LG_54,47,2,3709
42,MOUSE_GENIUS,59,2,5280
43,CELULAR_MOTOG6,97,2,8320
44,MONITOR_SAMSUNG_24,29,2,2503
45,MONITOR_SAMSUNG_24,102,2,8720
47,CELULAR_MOTOG6,103,2,8800
48,MOUSE_GENIUS,54,2,4880
54,MOUSE_GENIUS,90,2,7760
55,TV_LG_54,107,2,9120
56,MONITOR_SAMSUNG_24,81,2,7040
57,TV_LG_54,68,2,6000
62,NOTEBOOK_HP,106,2,9040
63,CELULAR_MOTOG6,91,2,7840
66,CELULAR_MOTOG6,30,2,2570
69,CELULAR_MOTOG6,82,2,7120
70,TV_LG_54,38,2,3106
72,TV_LG_54,19,2,1833
77,CELULAR_MOTOG6,68,2,6000
78,TECLADO_ESP,95,2,8160
81,CELULAR_MOTOG5,31,2,2637
85,TECLADO_ESP,77,2,6720
86,NOTEBOOK_HP,100,2,8560
89,NOTEBOOK_HP,67,2,5920
92,TECLADO_ESP,50,2,3910
93,CELULAR_MOTOG6,25,2,2235
94,MOUSE_GENIUS,89,2,7680
97,MOUSE_GENIUS,35,2,2905
100,NOTEBOOK_HP,101,2,8640
103,CELULAR_MOTOG6,17,2,1699
115,CELULAR_MOTOG5,72,2,6320
116,MONITOR_SAMSUNG_24,48,2,3776
124,CELULAR_MOTOG5,93,2,8000
131,TECLADO_ESP,109,2,9280
134,NOTEBOOK_HP,89,2,7680
135,NOTEBOOK_HP,60,2,5360
136,MOUSE_GENIUS,53,2,4800
140,MOUSE_GENIUS,48,2,3776
145,TV_LG_54,37,2,3039
150,MONITOR_SAMSUNG_24,19,2,1833
152,TV_LG_54,93,2,8000
160,CELULAR_MOTOG6,42,2,3374
164,NOTEBOOK_HP,16,2,1632
165,CELULAR_MOTOG5,89,2,7680
168,CELULAR_MOTOG5,88,2,7600
174,MONITOR_SAMSUNG_24,11,2,1297
179,MOUSE_GENIUS,63,2,5600
182,TECLADO_ESP,73,2,6400
183,TECLADO_ESP,80,2,6960
185,TV_LG_54,97,2,8320
191,NOTEBOOK_HP,88,2,7600
193,TECLADO_ESP,81,2,7040
199,NOTEBOOK_HP,69,2,6080
200,MONITOR_SAMSUNG_24,80,2,6960
203,NOTEBOOK_HP,104,2,8880
205,NOTEBOOK_HP,95,2,8160
207,NOTEBOOK_HP,95,2,8160
209,CELULAR_MOTOG5,53,2,4800
210,NOTEBOOK_HP,42,2,3374
216,NOTEBOOK_HP,31,2,2637
217,TECLADO_ESP,104,2,8880
218,TECLADO_ESP,104,2,8880
222,TV_LG_54,26,2,2302
225,TV_LG_54,22,2,2034
226,NOTEBOOK_HP,14,2,1498
228,MOUSE_GENIUS,13,2,1431
229,TV_LG_54,76,2,6640
231,CELULAR_MOTOG5,76,2,6640
238,CELULAR_MOTOG6,11,2,1297
241,TV_LG_54,97,2,8320
242,CELULAR_MOTOG5,102,2,8720
244,TV_LG_54,31,2,2637
247,MONITOR_SAMSUNG_24,26,2,2302
248,TECLADO_ESP,67,2,5920
251,CELULAR_MOTOG6,20,2,1900
253,TECLADO_ESP,77,2,6720
254,CELULAR_MOTOG5,37,2,3039
256,MOUSE_GENIUS,66,2,5840
262,TECLADO_ESP,26,2,2302
269,NOTEBOOK_HP,73,2,6400
270,CELULAR_MOTOG6,110,2,9360
274,CELULAR_MOTOG5,68,2,6000
277,CELULAR_MOTOG6,70,2,6160
278,TV_LG_54,75,2,6560
280,MONITOR_SAMSUNG_24,97,2,8320
283,CELULAR_MOTOG6,35,2,2905
291,TV_LG_54,50,2,3910
294,MONITOR_SAMSUNG_24,101,2,8640
300,TV_LG_54,51,2,4640
308,MOUSE_GENIUS,53,2,4800
312,MONITOR_SAMSUNG_24,17,2,1699
317,MOUSE_GENIUS,61,2,5440
319,CELULAR_MOTOG5,103,2,8800
325,NOTEBOOK_HP,70,2,6160
329,TECLADO_ESP,79,2,6880
335,MONITOR_SAMSUNG_24,94,2,8080
337,MONITOR_SAMSUNG_24,84,2,7280
348,TECLADO_ESP,101,2,8640
349,NOTEBOOK_HP,96,2,8240
350,CELULAR_MOTOG5,42,2,3374
356,NOTEBOOK_HP,59,2,5280
357,TV_LG_54,37,2,3039
360,CELULAR_MOTOG5,88,2,7600
361,TECLADO_ESP,32,2,2704
362,CELULAR_MOTOG5,48,2,3776
365,MONITOR_SAMSUNG_24,15,2,1565
368,TECLADO_ESP,69,2,6080
372,NOTEBOOK_HP,32,2,2704
374,MOUSE_GENIUS,69,2,6080
375,TV_LG_54,72,2,6320
378,TV_LG_54,37,2,3039
380,CELULAR_MOTOG5,105,2,8960
384,TECLADO_ESP,95,2,8160
387,TV_LG_54,75,2,6560
413,CELULAR_MOTOG5,21,2,1967
419,CELULAR_MOTOG5,38,2,3106
420,TECLADO_ESP,107,2,9120
422,NOTEBOOK_HP,46,2,3642
424,CELULAR_MOTOG6,40,2,3240
426,TECLADO_ESP,78,2,6800
432,MONITOR_SAMSUNG_24,30,2,2570
443,CELULAR_MOTOG5,22,2,2034
444,CELULAR_MOTOG6,104,2,8880
447,MOUSE_GENIUS,39,2,3173
448,TECLADO_ESP,46,2,3642
450,NOTEBOOK_HP,99,2,8480
452,TECLADO_ESP,108,2,9200
454,MOUSE_GENIUS,97,2,8320
458,MOUSE_GENIUS,69,2,6080
467,CELULAR_MOTOG5,90,2,7760
468,NOTEBOOK_HP,59,2,5280
475,MONITOR_SAMSUNG_24,68,2,6000
479,TV_LG_54,43,2,3441
485,MOUSE_GENIUS,56,2,5040
489,TECLADO_ESP,82,2,7120
493,CELULAR_MOTOG6,38,2,3106
496,CELULAR_MOTOG6,65,2,5760
497,MONITOR_SAMSUNG_24,67,2,5920
498,TV_LG_54,71,2,6240
499,TECLADO_ESP,62,2,5520
